Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Model
35,0.0134137872082646,0.9980183304433986,0.9980183304433986,0.9980183304433986,0.9980183304433986,0.0698270259696679,0.9859747545582048,0.9859747545582048,0.9859747545582048,0.9859747545582048,resnet50
16,0.0517148002400063,0.9920733217735944,0.9920733217735944,0.9920733217735944,0.9920733217735944,0.0726676247625922,0.9845722300140252,0.9845722300140252,0.9845722300140252,0.9845722300140252,efficientnet_b0
29,0.0086175439355429,0.9982660391379736,0.9982660391379736,0.9982660391379736,0.9982660391379736,0.0866836735779846,0.9817671809256662,0.9817671809256662,0.9817671809256662,0.9817671809256662,efficientnet_b3
20,0.0225243206368759,0.995788952192222,0.995788952192222,0.995788952192222,0.995788952192222,0.0704463861135688,0.9817671809256662,0.9817671809256662,0.9817671809256662,0.9817671809256662,efficientnet_b1
15,0.0219786824309267,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.0698157388251274,0.9789621318373072,0.9789621318373072,0.9789621318373072,0.9789621318373072,resnet34
26,0.0240494703466538,0.998761456527124,0.998761456527124,0.998761456527124,0.998761456527124,0.0877142049527416,0.976157082748948,0.976157082748948,0.976157082748948,0.976157082748948,resnet18
22,0.0109004474361427,0.998761456527124,0.998761456527124,0.998761456527124,0.998761456527124,0.1821264791263578,0.9747545582047684,0.9747545582047684,0.9747545582047684,0.9747545582047684,googlenet
18,0.0264924167131539,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.1243133740499615,0.9733520336605892,0.9733520336605892,0.9733520336605892,0.9733520336605892,efficientnet_b2
21,0.0146038774983026,0.9977706217488234,0.9977706217488234,0.9977706217488234,0.9977706217488234,0.1409387200449904,0.9719495091164096,0.9719495091164096,0.9719495091164096,0.9719495091164096,mobilenet_v2
28,0.0065300466667395,0.9985137478325488,0.9985137478325488,0.9985137478325488,0.9985137478325488,0.1555134433059114,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,resnet101
34,0.0219800896593369,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.9933118652464702,0.1207536921525995,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,efficientnet_b4
20,0.1314757852686252,0.9482288828337876,0.9482288828337876,0.9482288828337876,0.9482288828337876,0.2942161102261808,0.9228611500701264,0.9228611500701264,0.9228611500701264,0.9228611500701264,cnn_large
9,0.3043893238183538,0.8919990091652217,0.8919990091652217,0.8919990091652217,0.8919990091652217,0.2622472703870799,0.9144460028050492,0.9144460028050492,0.9144460028050492,0.9144460028050492,cnn_extra_large
15,0.1974273038652574,0.9298984394352242,0.9298984394352242,0.9298984394352242,0.9298984394352242,0.3205798729012409,0.8990182328190743,0.8990182328190743,0.8990182328190743,0.8990182328190743,cnn_medium
44,0.2456880657098039,0.92395343076542,0.92395343076542,0.92395343076542,0.92395343076542,0.4936883370081583,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,cnn_small
72,0.143237772401378,0.9551647262818924,0.9551647262818924,0.9551647262818924,0.9551647262818924,0.9753147863679462,0.7279102384291725,0.7279102384291725,0.7279102384291725,0.7279102384291725,mlp_l
61,0.3377095466192532,0.8838246222442407,0.8838246222442407,0.8838246222442407,0.8838246222442406,0.875893176264233,0.7180925666199158,0.7180925666199158,0.7180925666199158,0.7180925666199157,mlp_xl
41,0.3836821215484924,0.875897944017835,0.875897944017835,0.875897944017835,0.875897944017835,0.974184415737788,0.7012622720897616,0.7012622720897616,0.7012622720897616,0.7012622720897616,mlp_s
34,0.5893124081636135,0.8171909834035175,0.8171909834035175,0.8171909834035175,0.8171909834035175,1.062827984491984,0.6844319775596073,0.6844319775596073,0.6844319775596073,0.6844319775596073,mlp_n
23,0.7064237534528665,0.7617042358186772,0.7617042358186772,0.7617042358186772,0.7617042358186771,1.003471828169293,0.6802244039270687,0.6802244039270687,0.6802244039270687,0.6802244039270687,mlp_m
